Symbol,Name,Industry,Sector
AARTIIND,Aarti Industries Limited,Specialty Chemicals,Specialty Chemicals
ABB,ABB India Limited,Infra,Engineering
ABBOTINDIA,Abbott India Limited,Health Care ,Pharma
ABCAPITAL,Aditya Birla Capital Limited,Bfsi,NBFC
ABFRL,Aditya Birla Fashion and Retail Limited,Retail,Fashion
ACC,ACC Limited,Cement,Cement
ADANIENSOL,Adani Energy Solutions Limited,,
ADANIENT,Adani Enterprises Limited,Trading,Holding company
ADANIGREEN,Adani Green Energy Limited,,
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Infra,Infra
ALKEM,Alkem Laboratories Limited,Health Care ,Pharma
AMBUJACEM,Ambuja Cements Limited,Infra,Cement
ANGELONE,Angel One Limited,,
APLAPOLLO,APL Apollo Tubes Limited,,
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Health Care ,Pharma
APOLLOTYRE,Apollo Tyres Limited,Auto Ancillary,Auto Ancillary
ASHOKLEY,Ashok Leyland Limited,Auto,Auto
ASIANPAINT,Asian Paints Limited,Infra,Specialty Chemicals
ASTRAL,Astral Limited,Utilities,Infra
ATGL,Adani Total Gas Limited,,
ATUL,Atul Limited,Specialty Chemicals,Specialty Chemicals
AUBANK,AU Small Finance Bank Limited,Bfsi,BANK
AUROPHARMA,Aurobindo Pharma Limited,Health Care ,Pharma
AXISBANK,Axis Bank Limited,Bfsi,Bank
BAJAJ-AUTO,Bajaj Auto Limited,Auto,Auto
BAJAJFINSV,Bajaj Finserv Limited,Bfsi,NBFC
BAJFINANCE,Bajaj Finance Limited,Bfsi,NBFC
BALKRISIND,Balkrishna Industries Limited,Infra,Auto Ancillary
BANDHANBNK,Bandhan Bank Limited,Bfsi,Bank
BANKBARODA,Bank of Baroda,Bfsi,BANK
BANKINDIA,Bank of India,,
BATAINDIA,Bata India Limited,Retail,Fashion
BEL,Bharat Electronics Limited,Infra,Aerospace and defence
BERGEPAINT,Berger Paints (I) Limited,Infra,Specialty Chemicals
BHARATFORG,Bharat Forge Limited,Infra,Engineering
BHARTIARTL,Bharti Airtel Limited,Utilities,Telecom
BHEL,Bharat Heavy Electricals Limited,Infra,Electric goods
BIOCON,Biocon Limited,Health Care ,Pharma
BOSCHLTD,Bosch Limited,Infra,Engineering
BPCL,Bharat Petroleum Corporation Limited,Oil & Gas,Oil & Gas
BRITANNIA,Britannia Industries Limited,Retail,FMCG
BSE,BSE Limited,,
BSOFT,BIRLASOFT LIMITED,Consulting,IT
CAMS,Computer Age Management Services Limited,,
CANBK,Canara Bank,Bfsi,BANK
CANFINHOME,Can Fin Homes Limited,Bfsi,Housing finance
CDSL,Central Depository Services (India) Limited,,
CESC,CESC Limited,,
CGPOWER,CG Power and Industrial Solutions Limited,,
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,Specialty Chemicals,Agri (inc fertilizers)
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Bfsi,NBFC
CIPLA,Cipla Limited,Health Care ,Pharma
COALINDIA,Coal India Limited,Infra,power
COFORGE,Coforge Limited,IT,IT
COLPAL,Colgate Palmolive (India) Limited,Retail,FMCG
CONCOR,Container Corporation of India Limited,Infra,freight
COROMANDEL,Coromandel International Limited,Trading,Agri (inc fertilizers)
CROMPTON,Crompton Greaves Consumer Electricals Limited,Trading,Consumer durables
CUB,City Union Bank Limited,Bfsi,Bank
CUMMINSIND,Cummins India Limited,Infra,Auto Ancillary
CYIENT,Cyient Limited,,
DABUR,Dabur India Limited,Retail,FMCG
DALBHARAT,Dalmia Bharat Limited,Cement,Cement
DEEPAKNTR,Deepak Nitrite Limited,Specialty Chemicals,Agri (inc fertilizers)
DELHIVERY,Delhivery Limited,,
DIVISLAB,Divi's Laboratories Limited,Health Care ,Pharma
DIXON,Dixon Technologies (India) Limited,Infra,Electric goods
DLF,DLF Limited,Infra,Real estate
